Mode: chained; duration: 120.0s; speed: 150
Phase 1: forward 17 cm for 2.10s, then right 90 degrees for 2.68s
Circle mode: after 25.6s on P1110/P1111, or both within 1.0s, turn right about 42.5 degrees; auto-trace inside; sustained P1001 (0.1s) enters exit mode: drive 5 cm and turn right 50 degrees
Operator beside car, chassis secured, power ready to cut? (yes/no) Phase 1 starting: forward 17 cm
Phase 1 complete: turning right 90 degrees
Phase 2 starting: auto-tracing
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   5.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   5.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   5.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   5.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   5.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   5.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   5.5s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.5s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.5s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.6s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.6s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.6s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.6s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.6s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.6s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.6s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.6s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.6s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.6s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.7s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.7s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.7s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.7s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.7s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.7s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.7s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.7s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.7s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.7s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.8s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.8s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.8s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.8s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.8s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.8s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.8s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.8s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.8s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.8s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.9s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.9s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.9s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.9s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.9s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.9s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.9s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.9s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.9s P0010 -> L150 R150: centred or right drift; forward-only policy
   5.9s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.0s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.0s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.0s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.0s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.0s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.0s P0010 -> L150 R150: centred or right drift; forward-only policy
